order_id,order_status,order_source,order_date,category,sku,quantity,sales,city
14113,Shipped,Web,2025-05-01,CK,Minim12,1,1190,Lahore
14150,Shipped,Web,2025-11-01,HNS,201-12,1,1190,Lahore
14158,Shipped,Web,2025-12-01,CK,Minim12,1,1190,Lahore
14553,Shipped,Web,2025-02-04,HNS,201-12,1,1190,Lahore
14555,Shipped,Web,2025-02-04,HNS,201-12,1,1190,Lahore
14093,Shipped,Web,2025-03-01,CK,Zen12,1,1290,Lahore
14326,Shipped,Web,2025-03-02,CK,Zen12,1,1290,Lahore
14822,Shipped,Web,2025-08-06,HNS,201-12,1,1290,Lahore
14081,Shipped,Web,2025-02-01,HNS,201-12,1,1390,Lahore
14096,Shipped,Web,2025-03-01,WD,SunFlower,1,1390,Lahore
14141,Shipped,Web,2025-11-01,WD,pta,1,1390,Lahore
14148,Shipped,Web,2025-11-01,CK,Crclr15,1,1490,Lahore
14328,Shipped,Web,2025-03-02,CK,Minim15,1,1490,Lahore
14576,Shipped,Web,2025-05-04,HNS,101-12,1,1490,Lahore
14577,Shipped,Web,2025-05-04,HNS,101-12,1,1490,Lahore
14628,Shipped,Web,2025-10-04,HNS,101-12,1,1490,Lahore
14743,Shipped,Web,2025-12-05,HNS,101-12,1,1490,Lahore
14083,Shipped,Web,2025-02-01,CK,Zen16,1,1590,Lahore
14084,Shipped,Web,2025-02-01,CK,Dng,1,1590,Lahore
14102,Shipped,Web,2025-04-01,CK,Dng,1,1590,Lahore
14324,Shipped,Web,2025-02-02,CK,PacMan16,1,1590,Lahore
14329,Shipped,Web,2025-04-02,CK,Zen16,1,1590,Lahore
14365,Shipped,Web,2025-10-02,HNS,201-15,1,1690,Lahore
14706,Shipped,Web,2025-01-05,HNS,201-15,1,1690,Lahore
14724,Shipped,Web,2025-08-05,HNS,201-15,1,1690,Lahore
14335,Shipped,Web,2025-05-02,CK,Silent15,1,1890,Lahore
14626,Shipped,Web,2025-10-04,CK,Silent15,1,1890,Lahore
14712,Shipped,Web,2025-02-05,HNS,201-15,1,1990,Lahore
14554,Shipped,Web,2025-02-04,HNS,101-15,1,2190,Lahore
14563,Shipped,Web,2025-03-04,HNS,201-18,1,2190,Lahore
14601,Shipped,Web,2025-08-04,HNS,201-18,1,2190,Lahore
14635,Shipped,Web,2025-12-04,HNS,101-15,1,2290,Lahore
14816,Shipped,Web,2025-06-06,HNS,101-15,1,2390,Lahore
7487,Shipped,Whatsapp,2025-10-06,HNS,201-18,1,2490,Lahore
14137,Shipped,Web,2025-11-01,HNS,101-15,1,2590,Lahore
14343,Shipped,Web,2025-06-02,HNS,101-15,1,2590,Lahore
14565,Shipped,Web,2025-03-04,HNS,101-15,1,2590,Lahore
14569,Shipped,Web,2025-03-04,HNS,201-18,1,2590,Lahore
14580,Shipped,Web,2025-05-04,HNS,201-18,1,2590,Lahore
14581,Shipped,Web,2025-06-04,HNS,201-18,1,2590,Lahore
14610,Shipped,Web,2025-09-04,HNS,101-15,1,2590,Lahore
14716,Shipped,Web,2025-04-05,HNS,201-18,1,2590,Lahore
14720,Shipped,Web,2025-06-05,HNS,201-18,1,2590,Lahore
14587,Shipped,Web,2025-07-04,HNS,101-18,1,2890,Lahore
14731,Shipped,Web,2025-10-05,HNS,101-18,1,2890,Lahore
14819,Shipped,Web,2025-07-06,HNS,101-18,1,3190,Lahore
14560,Shipped,Web,2025-02-04,HNS,101-18,1,3390,Lahore
14588,Shipped,Web,2025-07-04,HNS,101-18,1,3390,Lahore
14593,Shipped,Web,2025-08-04,HNS,101-18,1,3390,Lahore
14721,Shipped,Web,2025-06-05,HNS,101-18,1,3390,Lahore
14135,Shipped,Web,2025-10-01,HNS,101-15,1,3400,Lahore
14807,Shipped,Web,2025-06-06,HNS,101-18,1,3690,Lahore
14821,Shipped,Web,2025-08-06,HNS,103-18,1,6190,Lahore
14082,Shipped,Web,2025-02-01,CK,DIY,1,899,Hyderabad
14106,Shipped,Web,2025-04-01,CK,DIY,1,899,Islamabad
14347,Shipped,Web,2025-07-02,CK,DIY,1,899,Sialkot
14146,Shipped,Web,2025-11-01,CK,Simply9,1,990,Muzaffargarh
14334,Shipped,Web,2025-05-02,CK,Simply9,1,990,Gujrat
14594,Shipped,Web,2025-08-04,CK,Simply9,1,990,Islamabad
14595,Shipped,Web,2025-08-04,CK,Minim9,1,990,Rawalpindi
14123,Shipped,Web,2025-07-01,CK,Geo12,1,1090,Rawalpindi
14341,Shipped,Web,2025-05-02,WD,Circles,1,1090,Gujrat
14462,Shipped,Web,2025-01-03,CK,Simply12,1,1090,Burewala
14090,Shipped,Web,2025-02-01,WD,BF,1,1190,Sialkot
14104,Shipped,Web,2025-04-01,CK,Gear12,1,1190,Gujranwala
14126,Shipped,Web,2025-08-01,CK,Minim12,1,1190,Dharki
14321,Shipped,Web,2025-01-02,HNS,201-12,1,1190,Rawalpindi
14327,Shipped,Web,2025-03-02,HNS,201-12,1,1190,Rawalpindi
14707,Shipped,Web,2025-01-05,HNS,201-12,1,1190,Jhelum
14717,Shipped,Web,2025-04-05,HNS,201-12,1,1190,Islamabad
14801,Shipped,Web,2025-01-06,HNS,201-12,1,1190,Bahawalpur
14804,Shipped,Web,2025-03-06,WD,PD,1,1190,Mianwali
5470,Shipped,Whatsapp,2025-09-04,HNS,201-12,1,1190,Sialkot
14091,Shipped,Web,2025-03-01,CK,Zen12,1,1290,Peshawar
14323,Shipped,Web,2025-02-02,CK,Zen12,1,1290,Quetta
14350,Shipped,Web,2025-07-02,CK,Zen12,1,1290,Charsadda
14808,Shipped,Web,2025-06-06,HNS,101-12,1,1290,Rawalpindi
14322,Shipped,Web,2025-02-02,HNS,201-12,1,1390,Sargodha
14344,Shipped,Web,2025-06-02,CK,BoldS15,1,1390,Hyderabad
14349,Shipped,Web,2025-07-02,HNS,201-12,1,1390,Sialkot
14352,Shipped,Web,2025-08-02,CK,BoldS15,1,1390,Mailsi
